Wavelength,Ethanol_2.5_5,Ethanol_5_5,Ethanol_5_10,0_Hg_2.5_5,0_Hg_5_5,0_Hg_5_10,0.001_Hg_2.5_5,0.001_Hg_5_5,0.001_Hg_5_10,0.0025_Hg_2.5_5,0.0025_Hg_5_5,0.0025_Hg_5_10,0.004_Hg_2.5_5,0.004_Hg_5_5,0.004_Hg_5_10,0.006_Hg_2.5_5,0.006_Hg_5_5,0.006_Hg_5_10,0.0125_Hg_2.5_5,0.0125_Hg_5_5,0.0125_Hg_5_10,0.013_Hg_2.5_5,0.013_Hg_5_5,0.013_Hg_5_10,0.016_Hg_2.5_5,0.016_Hg_5_5,0.016_Hg_5_10,0.0175_Hg_2.5_5,0.0175_Hg_5_5,0.0175_Hg_5_10,0.008_Hg_2.5_5,0.008_Hg_5_5,0.008_Hg_5_5,0.009_Hg_2.5_5,0.009_Hg_5_5,0.009_Hg_5_10
449.0700073,0.230188847,1.64010644,5.428917885,0.458655477,2.390211582,9.424502373,0.671866834,2.8404212,10.22992897,0.57374841,2.904494524,7.743772507,0.650733531,2.953969717,10.74514961,0.655164897,2.787185669,11.65311146,0.82710892,4.840703964,17.02848625,1.154263973,5.712559223,19.74765396,1.423416018,5.274841785,19.78651237,0.830994368,4.811812401,18.70128059,1.096411705,4.186417103,15.70460224,1.136333823,4.659281731,17.03745651
450,0.487191975,1.388799667,5.495668411,0.550343931,2.387533665,9.6288414,0.70234704,2.765164137,10.72396851,0.622005522,3.335175037,8.230316162,0.66609329,2.612791061,10.74569035,0.603131235,2.705273628,10.25871181,1.362294078,4.787398338,19.54512787,0.952516615,5.659564972,22.6829567,1.346894383,5.293695927,21.78284645,0.972096562,4.742137909,20.29538918,0.983162224,4.487157822,16.62902069,1.21491313,5.804643631,18.55333138
451.0599976,0.487475306,1.40699625,5.644839764,0.610475063,2.51444149,9.508408546,0.628920376,2.898759365,10.76693344,0.523491681,3.012191296,9.019403458,0.649644792,2.648731232,11.96772957,0.627471209,2.896328449,9.791946411,1.460926533,5.428910732,22.32883263,1.297379136,6.946824074,23.02262306,1.045473933,5.815933704,24.51864052,1.117623568,5.859642029,23.60035706,0.966682792,4.789838791,18.98947144,1.194568634,5.882549286,20.49641609
451.9599915,0.229499519,1.352654576,5.556812286,0.496109664,2.878141165,9.921133995,0.634756208,2.633596182,10.67399406,0.324624032,3.115969896,9.501457214,0.859179616,2.555260897,10.61199665,0.634385467,2.693994761,11.30914974,1.854340672,6.553460598,25.42277527,1.274139285,6.446802139,25.10225677,1.214155555,6.533950806,26.66509438,1.12286365,5.962470055,25.32430458,1.490084529,5.392716408,21.44025993,1.506495714,6.360456944,22.47043037
453.0299988,0.453910917,1.430854917,5.674720287,0.399966657,2.450515747,10.13976097,0.43162483,2.972263336,10.77498341,0.49068144,3.427881956,9.566848755,0.678338707,2.942592621,10.74240971,0.689555347,3.254996777,11.48643684,1.438006401,6.993854523,26.76832199,1.478006959,7.236176968,28.43435478,1.6387012,7.31165123,28.41827202,1.277293563,7.979039192,27.65439796,1.085579872,5.707113266,23.41017914,1.395239353,6.418245792,24.44553757
453.9299927,0.207382828,1.592998624,6.125080585,0.688728094,2.691108227,10.32997704,0.381749064,3.338636875,11.30694771,0.577852964,3.315148354,10.00235271,0.995276868,2.873921633,11.08928871,0.956690371,2.935010433,11.8283968,1.545065761,7.073885441,30.0397644,2.356348276,8.730003357,33.47422409,1.494768262,7.870322227,30.71520805,1.789167881,8.515494347,32.69851685,1.21770978,6.737184048,25.27092171,1.356154919,7.124722004,28.31260109
455,0.403890818,1.465660334,5.192224026,0.644464731,2.685524464,10.79309177,0.708581328,3.315164328,12.00098133,0.646919847,3.331978321,10.50731087,0.792045832,2.93379426,12.24559593,0.424878806,3.329678297,12.66539383,2.170324326,9.709648132,33.50938416,2.173205376,10.57197666,36.05851364,1.783815384,9.053448677,37.72800446,2.021358728,8.907626152,37.1768074,1.775395751,7.940975189,26.77459145,1.767761469,8.03680706,31.1101265
456.0599976,0.366934001,1.323605418,5.474248886,0.625104189,2.688849688,11.71677399,0.762550354,3.420714855,12.82538128,0.807292521,3.096279144,10.2122221,0.916567385,3.150336027,12.31163883,0.429766834,2.984934807,12.97032261,2.257559538,9.907904625,37.28084564,3.003138304,10.61150169,40.47403717,1.968129992,11.01946354,40.39156342,2.457489729,9.855854988,40.92936707,2.272168398,8.764652252,31.13851357,1.619060636,9.091809273,32.99315262
456.9599915,0.26842618,1.139435053,4.925909519,0.369546026,2.75699091,10.7780838,0.278143019,2.856534004,11.29826736,0.606075943,4.052208424,10.80449104,0.725647032,3.128851175,12.56452465,0.496232003,3.55311203,12.29492092,2.225908995,10.61298943,42.49969101,2.881108046,11.65128136,43.26055527,2.56330061,11.54743481,45.98003769,2.775270462,11.72505283,45.77634048,2.167956829,9.141523361,33.88048935,2.379802942,10.11569786,39.17528534
458.0299988,0.549031079,1.162307978,4.703881264,0.785913706,2.499322176,11.11155033,0.868392229,3.675713062,11.1766634,0.839550614,3.695362091,12.37069607,1.102802873,3.821784258,12.65464211,0.72748059,3.635902643,12.55649185,2.564377308,14.05948067,46.65975952,2.679982185,13.24059963,47.75754547,2.775561571,14.0290451,50.46149445,3.319168329,13.29894161,49.12287903,1.703359842,10.45789146,38.34850693,2.269372702,11.81954002,43.10216141
458.9299927,0.569485903,1.661182284,6.056979179,0.550362647,3.267823219,10.76376438,0.831995666,3.853577375,12.08775616,0.931035101,3.920779943,11.89267921,0.771799147,3.877994299,13.0518465,1.09358716,3.548820972,13.29514027,3.221966028,13.54666996,53.18474197,2.953452349,14.69429588,54.01797485,3.2719028,15.97757816,58.31573105,3.38766098,14.60595989,57.36606979,2.990222216,11.26713467,40.45540237,2.295578957,12.37489128,46.6424675
460,0.261059225,1.182527423,5.653615475,0.926027238,3.605203629,11.27386856,0.831995666,3.911309004,12.60453224,0.858152449,3.453989029,11.08403492,0.756352484,4.009909153,12.71990585,0.917786539,3.432841778,14.68679142,3.147542,15.95702171,59.86294937,4.086845398,17.31054497,63.24660873,3.585021019,16.83104897,66.71081543,3.239695311,15.82930946,64.35361481,2.233206987,12.5157032,45.10466766,2.298983812,14.15805244,51.2021904
461.0400085,0.226664096,1.394522548,5.015993118,0.495665014,2.878675699,11.50510311,0.887244582,3.657809258,13.09049892,0.72496289,3.931956291,11.13122177,0.895330727,3.211221933,14.16761971,0.719538808,4.187819481,13.22805023,3.359360218,17.41049194,65.27075195,4.141042233,18.64982796,69.87198639,4.291335106,17.62742996,72.18834686,4.016583443,19.92439651,73.09166718,2.639216661,13.37516785,51.06413269,3.321353912,15.72191906,55.70054626
461.9400024,0.231690049,1.089758992,4.543688774,0.768302083,3.167997122,13.0929966,0.714115679,3.46897316,12.86606026,0.60404712,3.772934437,12.85902786,1.081777096,4.552463055,13.96242046,0.8558411,3.352068186,13.77205276,4.311777115,18.27865028,74.00665283,4.656826973,21.19934082,75.2519455,4.320306301,21.30751801,78.75862122,4.046164989,20.44266701,76.98547363,4.15301466,13.99501324,53.96155548,3.719025612,16.73328972,63.89492035
462.980011,0.274155706,0.812765002,4.107738018,0.621256948,2.841993093,12.61907196,0.746731997,3.712795496,12.76996994,0.867586732,3.666227579,12.36350346,1.046501756,3.527513266,13.6071701,0.754710615,3.789179087,14.35786057,4.983167171,21.12533569,81.1572876,4.804682732,22.40014648,83.28118896,5.306629181,23.60694122,89.33016205,5.268920422,23.76481438,88.76873779,3.11893177,15.88410282,60.27967072,4.127608299,18.06046677,67.64068604
464.019989,0.033984128,0.951468647,3.834167242,0.433788806,3.766776085,11.75000191,0.762053132,3.253266335,12.5316782,0.565407336,3.848134279,13.49709415,0.80430305,3.928259373,14.04739189,0.572282732,3.905384064,14.74759388,5.391154289,24.51618004,89.33763123,4.673055172,24.7631855,92.25900269,5.068539619,27.03263664,99.5630722,5.303436279,24.92670441,98.98170471,3.918096066,17.53314018,64.75086212,4.638210773,21.09294319,78.8181839
465.0700073,0.127489224,0.705869913,3.280660152,0.71669656,3.209137678,12.87040424,0.576123416,3.633054972,12.61937237,0.867077112,3.927859545,13.52438545,0.814519823,4.001050949,15.09360695,0.916099131,3.759847164,15.44191456,5.374856472,24.81062508,98.72016907,6.358697891,27.29554367,104.1277771,6.767286301,29.48936653,110.3841858,6.213017941,29.99211884,109.7276993,3.470564365,18.35983658,71.6235199,5.155683041,22.44494629,82.95907593
465.9700012,0.184220672,0.580499113,2.558991671,0.658978581,3.06901288,12.62918472,0.627827346,3.725421667,13.3361845,0.976261854,3.782203197,14.27187729,0.645713151,3.375896931,15.18522549,0.753018439,4.039006233,15.09807777,6.17924881,28.12451935,108.1891098,5.782614231,30.126091,116.8855438,7.197371483,33.64503098,123.0812302,6.256973743,32.56974792,123.2903976,4.202067375,20.17124939,79.8872757,5.95082283,25.40147018,89.87817383
467.0100098,0.353505611,0.675736606,2.544747353,1.014470935,3.498324156,12.34937096,0.562271595,3.554564476,15.23651981,0.741770208,3.959695339,13.93544865,1.067471027,3.874506235,15.60587502,1.239293098,3.814112186,15.33808327,6.581614971,31.78197479,121.8638229,6.496270657,32.15161514,126.8885727,7.625299931,35.4663353,137.4632874,7.697493553,34.41439056,135.1240692,5.527003288,22.65207291,83.43872833,6.126739025,26.03692818,97.90478516
468.0499878,0.099645428,0.462869376,2.41864562,0.505263865,3.738256454,13.53319836,0.988453865,3.735842466,15.15232658,0.810509622,3.617178679,14.2195797,1.056408882,3.870764971,15.2957058,1.145767093,4.338198185,14.1616993,6.853539944,35.88924408,131.6483459,9.044048309,36.83163452,139.923584,8.640192032,38.22553635,151.571106,8.095833778,40.51980209,149.0816956,5.409762859,24.591465,94.74524689,6.362253189,28.24518776,106.5166779
468.9500122,0,0.611058176,2.734694958,0.763999641,3.348653555,12.29253387,0.928160369,3.908431053,14.68175793,0.807280839,3.773385763,14.71744156,0.998951495,4.836895943,14.94670868,0.764481545,4.86849165,17.23579407,7.954102993,39.03002167,143.5969543,7.537345409,40.99013138,150.3647766,8.271577835,42.8562355,160.8071442,9.62716198,44.50637817,166.4271088,5.978778362,28.28508186,103.744545,7.935498714,30.68122673,118.758522
470,0.058785986,0.545855045,1.736864924,0.712371528,3.934430361,14.29398632,1.196852565,3.992889643,15.16747665,0.850526333,4.190526485,15.25444508,0.840129316,4.090918064,16.30974007,0.811275005,4.781853199,15.57205677,9.306267738,43.79379654,160.3119049,9.724831581,45.57537842,173.1096191,10.12409115,50.4773941,183.2623138,11.88145542,47.48233795,181.3655853,6.738324165,30.46144295,111.3672333,7.425998688,34.27096558,132.4235687
471.0599976,0.167364016,0.460002154,1.809804797,1.276967525,4.132120609,15.12117386,0.870084465,4.20563221,15.14969158,1.073186278,4.240450859,15.42179203,0.932377636,5.177419662,17.67746162,1.11656034,4.609447956,16.82478142,10.74782658,48.63895416,177.7561188,9.38030529,49.45847702,191.712616,10.64838123,54.97846603,198.7035522,12.01333427,55.55483246,200.9538727,6.44424963,32.87685776,126.7301254,7.91945982,37.94755173,149.38414
471.9599915,0.110713676,0.727020025,2.049807072,0.844423413,4.259100437,14.85645294,0.84071821,3.975670338,16.16173744,0.627174199,4.047595501,16.9737339,0.917462349,4.0794034,17.35531425,0.882912278,4.600236893,18.27256966,11.46639061,55.01654434,191.2756958,11.24787045,55.24422073,201.4721527,13.45867157,57.31190872,220.5976563,12.06313324,62.25051117,218.9416656,8.369797707,36.40871048,134.2810516,8.171216965,42.38602829,155.6367798
473.0299988,0.109866895,0.542193055,2.16495204,1.016669989,3.686770916,15.50553131,0.837319613,4.783436775,15.69179249,1.273653626,4.851103783,16.50745201,1.181504369,4.607656956,17.47014046,0.906915247,5.457692623,18.06664467,12.35510349,55.76849747,213.8261414,12.19625473,60.42246246,219.3653259,12.72216225,66.1917572,243.2806854,13.67904854,63.94872665,238.9240875,7.88546896,40.03159332,143.3000488,10.22391701,45.35484314,168.0437469
473.9299927,0.085210815,0.649308503,2.318457603,1.146395564,4.041972637,15.36608219,0.935816526,4.494717598,17.79572105,1.11806047,4.897357941,16.41722298,1.199377894,5.149983406,18.43861771,0.918053031,5.269254208,19.37130356,13.69432545,65.66693115,233.2578735,13.70230103,64.30337524,241.0969086,14.75185394,69.95710754,263.6419678,14.39586067,69.44553375,261.0783997,8.405191422,41.86207962,164.6548157,11.08000183,51.13343048,188.1968536
475,0.201777324,0.623393774,2.56410265,1.175107718,4.447885036,15.85909557,0.842388332,4.160732269,18.65519524,0.842083514,4.773285389,16.29756546,1.632892251,5.848754406,19.96899796,1.47226131,5.346827984,19.95460701,16.68314552,68.80209351,250.4889679,16.2239399,72.82662964,266.8495483,17.2828598,80.0643158,289.7695618,17.41781616,76.14215851,292.2844543,10.83645821,47.5320282,174.1212921,11.58125401,57.1573143,206.6701965
476.0599976,0.140577197,0.488645405,2.511389971,0.975064993,4.53200388,16.06406975,1.045443058,5.8606987,18.02013588,1.57113862,5.373146534,18.2784977,1.046848655,6.015891552,20.39043808,1.254621148,5.976095676,20.44016647,16.12806511,74.94082642,277.6531372,16.74894524,79.25027466,292.3552856,19.99832535,86.85640717,323.6621399,18.11175537,87.42269897,317.3708496,10.96818447,50.7442894,191.6796265,13.60764122,60.81160736,223.3733063
476.9599915,-0.051820185,0.635625839,2.146963596,1.106222272,3.976578712,17.68497276,1.166642547,4.897307873,18.58963966,1.104352832,4.979911327,18.06630707,1.50104332,6.026790142,20.37887001,1.103743553,5.413411617,20.30334663,18.32168388,81.7868576,297.5124512,20.18854141,83.09443665,313.4271545,18.46250534,94.89199829,343.2964478,20.11177826,94.67602539,347.6060791,12.5666666,56.39306641,208.6999512,14.00637817,66.06861877,239.5527039
